Model,Validation RMSE,Test RMSE,R² Score
Linear Regression,461.8095887127355,465.52589853241795,0.4756368235697007
Ridge Regression,461.81652368519786,465.52614286447107,0.4756362731437609
Lasso Regression,461.8179653394801,465.5252341692752,0.47563832023109087
Random Forest,340.735676501599,327.9956150357767,0.7396961647603334
XGBoost Regressor,303.74908447265625,304.5180358886719,0.775627076625824
XGBoost Regressor,301.0234069824219,301.9363708496094,0.7794153094291687
